c1,c2,stim,isPlural
train,bearer,trainbearer,0
pall,bearer,pallbearer,0
mace,bearer,macebearer,0
cup,bearer,cupbearer,0
tale,bearer,talebearer,0
torch,bearer,torchbearer,0
tale,bearers,talebearers,1
torch,bearers,torchbearers,1
pall,bearers,pallbearers,1
child,bearing,childbearing,0
bug,bears,bugbears,1
down,beat,downbeat,0
heart,beat,heartbeat,0
back,beat,backbeat,0
drum,beat,drumbeat,0
dead,beat,deadbeat,0
drum,beater,drumbeater,0
egg,beater,eggbeater,0
gold,beater,goldbeater,0
egg,beaters,eggbeaters,1
off,beats,offbeats,1
heart,beats,heartbeats,1
dead,beats,deadbeats,1
down,beats,downbeats,1
drum,beats,drumbeats,1
sea,bed,seabed,0
day,bed,daybed,0
feather,bed,featherbed,0
flat,bed,flatbed,0
sick,bed,sickbed,0
flower,bed,flowerbed,0
death,bed,deathbed,0
river,bed,riverbed,0
child,bed,childbed,0
stream,bed,streambed,0
hot,bed,hotbed,0
seed,bed,seedbed,0
road,bed,roadbed,0
feather,bedding,featherbedding,0
death,beds,deathbeds,1
day,beds,daybeds,1
road,beds,roadbeds,1
flat,beds,flatbeds,1
sick,beds,sickbeds,1
river,beds,riverbeds,1
flower,beds,flowerbeds,1
sea,beds,seabeds,1
hot,beds,hotbeds,1
seed,beds,seedbeds,1
honey,bee,honeybee,0
free,bee,freebee,0
bumble,bee,bumblebee,0
humble,bee,humblebee,0
honey,bees,honeybees,1
bumble,bees,bumblebees,1
black,beetle,blackbeetle,0
lady,beetle,ladybeetle,0
well,being,wellbeing,0
cow,bell,cowbell,0
door,bell,doorbell,0
hare,bell,harebell,0
snow,bell,snowbell,0
bar,bell,barbell,0
dumb,bell,dumbbell,0
hand,bell,handbell,0
amber,bell,amberbell,0
blue,bell,bluebell,0
under,bellies,underbellies,1
pot,bellies,potbellies,1
coral,bells,coralbells,1
dumb,bells,dumbbells,1
bar,bells,barbells,1
honey,bells,honeybells,1
cow,bells,cowbells,1
hare,bells,harebells,1
door,bells,doorbells,1
blue,bells,bluebells,1
sow,belly,sowbelly,0
under,belly,underbelly,0
red,belly,redbelly,0
pot,belly,potbelly,0
green,belt,greenbelt,0
seat,belt,seatbelt,0
shelter,belt,shelterbelt,0
green,belts,greenbelts,1
back,bench,backbench,0
work,bench,workbench,0
cross,bench,crossbench,0
work,benches,workbenches,1
back,benches,backbenches,1
back,bend,backbend,0
hell,bender,hellbender,0
methyl,benzene,methylbenzene,0
vinyl,benzene,vinylbenzene,0
alkyl,benzene,alkylbenzene,0
ice,berg,iceberg,0
ice,bergs,icebergs,1
goose,berries,gooseberries,1
straw,berries,strawberries,1
bay,berries,bayberries,1
black,berries,blackberries,1
dew,berries,dewberries,1
bar,berries,barberries,1
blue,berries,blueberries,1
rasp,berries,raspberries,1
elder,berries,elderberries,1
wine,berry,wineberry,0
sugar,berry,sugarberry,0
bunch,berry,bunchberry,0
bay,berry,bayberry,0
longan,berry,longanberry,0
blood,berry,bloodberry,0
box,berry,boxberry,0
twin,berry,twinberry,0
bar,berry,barberry,0
jam,berry,jamberry,0
cow,berry,cowberry,0
china,berry,chinaberry,0
cracker,berry,crackerberry,0
dangle,berry,dangleberry,0
tea,berry,teaberry,0
ink,berry,inkberry,0
partridge,berry,partridgeberry,0
dew,berry,dewberry,0
elder,berry,elderberry,0
shad,berry,shadberry,0
sun,berry,sunberry,0
salmon,berry,salmonberry,0
rowan,berry,rowanberry,0
coral,berry,coralberry,0
sparkle,berry,sparkleberry,0
grouse,berry,grouseberry,0
hag,berry,hagberry,0
snow,berry,snowberry,0
fox,berry,foxberry,0
gall,berry,gallberry,0
ling,berry,lingberry,0
